City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Aripuana,BR,-9.1667,-60.6333,74.46,94,95,2.15,overcast clouds
143,Cherskiy,RU,68.75,161.3,0.91,86,100,3.24,overcast clouds
144,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,60,0,12.66,clear sky
145,Tuatapere,NZ,-46.1333,167.6833,62.98,53,100,2.59,overcast clouds
146,Waitati,NZ,-45.75,170.5667,61.81,68,13,4.63,few clouds
147,San Jose,US,37.3394,-121.895,69.85,36,40,18.41,scattered clouds
148,Sao Filipe,CV,14.8961,-24.4956,70.72,74,6,7.09,clear sky
149,Warrington,GB,53.3925,-2.5802,46.96,92,100,11.5,moderate rain
150,Barabinsk,RU,55.3571,78.357,33.03,100,100,7.16,overcast clouds
151,Port Elizabeth,ZA,-33.918,25.5701,61.32,97,82,4.0,broken clouds
152,Souillac,MU,-20.5167,57.5167,79.18,83,40,11.5,scattered clouds
153,San Patricio,US,28.017,-97.5169,74.53,71,97,12.93,overcast clouds
154,Noumea,NC,-22.2763,166.4572,89.58,99,100,10.11,overcast clouds
155,Fort Nelson,CA,58.8053,-122.7002,38.79,48,75,5.75,broken clouds
156,Mount Pleasant,US,32.7941,-79.8626,64.99,59,0,1.99,clear sky
157,Verkhnevilyuysk,RU,63.4453,120.3167,14.56,89,94,4.92,overcast clouds
158,Najran,SA,17.4924,44.1277,61.45,17,48,0.54,scattered clouds
159,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,36.93,98,100,5.12,overcast clouds
160,Peace River,CA,56.2501,-117.286,47.88,61,6,5.93,clear sky
161,Katsuura,JP,35.1333,140.3,50.02,88,100,14.92,overcast clouds
162,Batagay-Alyta,RU,67.8006,130.4114,2.61,89,96,1.59,overcast clouds
163,Poronaysk,RU,49.2167,143.1167,46.76,63,94,15.75,overcast clouds
164,Bolshaya Sosnova,RU,57.6713,54.6029,34.52,93,100,15.17,overcast clouds
165,Coahuayana,MX,18.7333,-103.6833,72.7,78,9,4.45,clear sky
166,Rocky Mountain House,CA,52.3668,-114.9188,44.71,49,3,4.61,clear sky
167,Qaanaaq,GL,77.484,-69.3632,11.35,67,88,7.74,overcast clouds
168,Faya,SA,18.3851,42.4509,59.11,38,100,1.12,overcast clouds
169,Tello,CO,3.0669,-75.1378,81.01,78,91,4.88,overcast clouds
170,Atasu,KZ,48.6814,71.6433,33.13,72,80,5.68,broken clouds
171,Avarua,CK,-21.2078,-159.775,73.45,88,75,3.44,moderate rain
172,Wade Hampton,US,34.9037,-82.3332,62.4,30,0,8.05,clear sky
173,Ponta Do Sol,PT,32.6667,-17.1,60.71,62,100,13.98,overcast clouds
174,Sidney,AU,-33.8679,151.2073,79.56,39,0,8.05,clear sky
175,Axim,GH,4.8699,-2.2405,81.43,85,100,9.53,light rain
176,Mwense,ZM,-10.3845,28.698,65.43,96,100,1.88,light rain
177,Hastings,GB,50.8552,0.5729,44.29,66,96,16.87,overcast clouds
178,Te Anau,NZ,-45.4167,167.7167,67.82,34,27,0.83,scattered clouds
179,Ornskoldsvik,SE,63.2909,18.7153,27.77,87,100,3.42,overcast clouds
180,Lusambo,CD,-4.9667,23.45,68.18,99,100,1.54,overcast clouds
181,Ambilobe,MG,-13.2,49.05,71.96,95,78,1.72,broken clouds
182,Zhigansk,RU,66.7697,123.3711,4.46,82,61,12.46,broken clouds
183,Minab,IR,27.1467,57.0801,64.72,82,22,0.0,few clouds
184,Honningsvag,NO,70.9821,25.9704,26.35,74,40,5.75,scattered clouds
185,Gaya,IN,24.7833,85.0,67.91,73,0,5.75,haze
186,Soure,BR,-0.7167,-48.5233,78.01,87,100,7.02,moderate rain
187,Cap Malheureux,MU,-19.9842,57.6142,79.47,81,8,5.99,clear sky
188,Cesis,LV,57.3119,25.2746,28.72,91,47,7.05,scattered clouds
189,Umba,RU,66.6871,34.3429,21.18,94,100,10.94,overcast clouds
190,East London,ZA,-33.0153,27.9116,67.91,84,29,7.31,scattered clouds
191,Jiwani,PK,25.05,61.7417,77.52,66,79,6.2,broken clouds
192,Palaikastron,GR,35.2,26.25,58.3,69,39,2.84,scattered clouds
193,Mecca,SA,21.4267,39.8261,80.6,29,97,3.71,overcast clouds
194,Seoul,KR,37.5683,126.9778,54.97,44,0,2.3,clear sky
195,Yeniseysk,RU,58.4497,92.1703,16.0,88,83,2.33,broken clouds
196,Esperance,AU,-33.8667,121.9,66.04,84,91,5.57,overcast clouds
197,Parit Buntar,MY,5.1267,100.4932,82.38,89,76,5.14,broken clouds
198,Nadym,RU,65.5333,72.5167,17.71,94,100,25.9,light snow
199,Kandi,BJ,11.1342,2.9386,84.09,50,92,4.88,overcast clouds
200,Bejar,ES,40.3864,-5.7634,27.52,74,32,10.38,scattered clouds
201,Gradignan,FR,44.7726,-0.6139,37.65,75,0,6.91,clear sky
202,Beyneu,KZ,45.3167,55.2,60.46,49,100,11.61,overcast clouds
203,Dakar,SN,14.6937,-17.4441,65.28,87,69,16.08,broken clouds
204,Babanka,UA,48.7097,30.4483,32.41,82,89,12.33,overcast clouds
205,George Town,MY,5.4112,100.3354,82.33,91,20,4.61,few clouds
206,Pitman,US,39.7329,-75.1316,47.68,58,87,8.99,overcast clouds
207,Santa Helena De Goias,BR,-17.8136,-50.5969,73.35,69,0,3.02,clear sky
208,Norman Wells,CA,65.282,-126.8329,5.04,56,75,9.22,broken clouds
209,Irece,BR,-11.3042,-41.8558,70.52,68,5,11.97,clear sky
210,Leningradskiy,RU,69.3833,178.4167,-6.72,92,100,4.03,overcast clouds
211,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,97,13.44,overcast clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,60.82,86,100,5.73,overcast clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,55.42,65,0,14.97,clear sky
214,Freeport,US,40.6576,-73.5832,46.02,73,100,19.57,overcast clouds
215,Moranbah,AU,-22.0016,148.0466,85.5,51,93,10.54,overcast clouds
216,Mount Isa,AU,-20.7333,139.5,87.57,13,8,11.5,clear sky
217,Flinders,AU,-34.5833,150.8552,78.06,52,100,8.99,overcast clouds
218,Rocha,UY,-34.4833,-54.3333,63.19,94,7,5.99,clear sky
219,Hermanus,ZA,-34.4187,19.2345,56.8,88,4,2.33,clear sky
220,Beloha,MG,-25.1667,45.05,70.92,90,0,8.99,clear sky
221,Intipuca,SV,13.1969,-88.0544,84.15,75,71,6.13,broken clouds
222,Castro,BR,-24.7911,-50.0119,63.57,96,89,5.41,overcast clouds
223,Bubaque,GW,11.2833,-15.8333,74.95,73,3,21.61,clear sky
224,Isangel,VU,-19.55,169.2667,84.85,71,100,9.93,overcast clouds
225,Laguna,US,38.421,-121.4238,79.75,29,0,13.8,clear sky
226,Merauke,ID,-8.4667,140.3333,84.25,67,62,3.49,broken clouds
227,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,49,4.94,scattered clouds
228,Dzhebariki-Khaya,RU,62.2167,135.8,22.01,80,100,3.15,overcast clouds
229,Vestmannaeyjar,IS,63.4427,-20.2734,42.94,82,100,9.95,overcast clouds
230,Cassilandia,BR,-19.1133,-51.7342,75.97,75,72,1.57,broken clouds
231,Itarema,BR,-2.9248,-39.9167,76.8,92,82,8.61,light rain
232,Derzhavinsk,KZ,51.1,66.3167,36.9,74,100,10.58,overcast clouds
233,Joshimath,IN,30.5667,79.5667,52.9,28,0,8.68,clear sky
234,Broome,US,42.2506,-75.833,36.19,79,100,7.0,mist
235,Zhuhai,CN,22.2769,113.5678,71.38,49,0,9.22,clear sky
236,Porto Novo,BJ,6.4965,2.6036,81.79,82,100,7.7,overcast clouds
237,Kasongo-Lunda,CD,-6.4667,16.8167,71.42,84,100,1.92,overcast clouds
238,Vitoria,BR,-20.3194,-40.3378,78.66,89,40,2.3,scattered clouds
239,Adrar,MR,20.5022,-10.0711,71.82,13,0,10.6,clear sky
240,Dolni Bousov,CZ,50.4383,15.1281,34.36,90,97,4.72,overcast clouds
241,Pevek,RU,69.7008,170.3133,-5.67,87,5,2.77,clear sky
242,Port-Gentil,GA,-0.7193,8.7815,80.58,78,85,4.32,overcast clouds
243,Upernavik,GL,72.7868,-56.1549,15.31,82,99,3.51,overcast clouds
244,Paso De Carrasco,UY,-34.8603,-56.0522,65.25,88,75,0.0,broken clouds
245,Labuhan,ID,-6.8844,112.2051,80.15,80,58,6.82,broken clouds
246,Deputatskiy,RU,69.3,139.9,-3.26,91,22,2.93,few clouds
247,Oussouye,SN,12.485,-16.5469,69.04,76,87,12.66,overcast clouds
248,Vardo,NO,70.3705,31.1107,27.16,71,100,10.36,overcast clouds
249,Asfi,MA,32.2994,-9.2372,59.58,74,100,8.52,overcast clouds
250,La Romana,DO,18.4273,-68.9728,73.76,94,20,0.0,few clouds
251,Thompson,CA,55.7435,-97.8558,37.56,52,100,4.61,overcast clouds
252,Hengshui,CN,37.7322,115.7011,60.28,46,0,18.5,clear sky
253,Cidreira,BR,-30.1811,-50.2056,68.72,97,100,8.68,overcast clouds
254,Carbonia,IT,39.1672,8.5222,46.0,64,100,3.15,overcast clouds
255,Graham,US,47.0529,-122.2943,52.66,74,100,25.32,light intensity drizzle
256,Wyndham,US,37.6985,-77.6125,52.99,46,0,8.99,clear sky
257,Puqi,CN,29.7167,113.8833,62.8,57,100,1.68,overcast clouds
258,Soyo,AO,-6.1349,12.3689,77.92,90,98,5.12,overcast clouds
259,Marsabit,KE,2.3284,37.9899,69.33,50,100,8.72,overcast clouds
260,Shurugwi,ZW,-19.6702,30.0059,60.39,84,2,3.62,clear sky
261,Barra Patuca,HN,15.8,-84.2833,80.02,75,6,12.28,clear sky
262,Namie,JP,37.4833,141.0,57.72,77,80,5.7,broken clouds
263,Shache,CN,38.4167,77.2406,55.6,23,0,6.02,clear sky
264,Kulhudhuffushi,MV,6.6221,73.07,83.1,69,9,2.44,clear sky
265,Ramhormoz,IR,31.28,49.6035,75.67,19,54,2.64,broken clouds
266,Grindavik,IS,63.8424,-22.4338,37.87,100,75,3.44,light intensity drizzle
267,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,7.9,overcast clouds
268,Carballo,ES,43.213,-8.691,44.87,71,2,8.97,clear sky
269,Elk Plain,US,47.0532,-122.3976,53.22,74,100,25.32,light intensity drizzle
270,Benghazi,LY,32.1167,20.0667,66.79,50,0,14.41,clear sky
271,Samarai,PG,-10.6167,150.6667,82.76,74,88,10.74,overcast clouds
272,Forestville,US,38.8451,-76.875,48.04,46,100,14.97,overcast clouds
273,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,11.5,light rain
274,Vagur,FO,61.4732,-6.8119,44.26,94,100,22.64,overcast clouds
275,Meybod,IR,32.2501,54.0166,66.22,16,0,2.04,clear sky
276,Bairiki,KI,1.3292,172.9752,87.8,70,20,9.22,few clouds
277,Esso,RU,55.9333,158.7,19.9,77,48,4.27,scattered clouds
278,Varna,BG,43.2167,27.9167,40.87,79,60,10.36,broken clouds
279,Jumla,NP,29.2747,82.1838,47.12,37,0,4.52,clear sky
280,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,73,46,13.67,scattered clouds
281,Daltenganj,IN,24.0333,84.0667,76.55,12,1,4.76,clear sky
282,Tam Ky,VN,15.5667,108.4833,66.42,93,100,7.29,overcast clouds
283,Provideniya,RU,64.3833,-173.3,10.51,67,0,15.99,clear sky
284,Pahrump,US,36.2083,-115.9839,76.5,18,100,8.01,overcast clouds
285,Cayambe,EC,0.05,-78.1333,51.06,90,92,0.58,light rain
286,Yumen,CN,40.2833,97.2,49.86,22,0,9.8,clear sky
287,Atambua,ID,-9.1061,124.8925,80.22,65,39,1.34,scattered clouds
288,Nautla,MX,20.2167,-96.7833,74.37,82,100,7.0,overcast clouds
289,Karratha,AU,-20.7377,116.8463,85.06,57,0,9.95,clear sky
290,Codrington,AU,-38.2667,141.9667,64.15,63,70,7.78,broken clouds
291,Bentiu,SS,9.2333,29.8333,83.57,46,7,4.36,clear sky
292,Xuddur,SO,4.1213,43.8894,74.95,80,24,12.55,few clouds
293,Vila Do Maio,CV,15.1333,-23.2167,68.79,73,3,13.02,clear sky
294,Kaeo,NZ,-35.1,173.7833,76.32,76,55,6.31,broken clouds
295,Bereda,ES,43.2686,-7.5406,40.41,77,13,7.38,few clouds
296,Launceston,AU,-41.45,147.1667,73.62,61,0,6.91,clear sky
297,Port Lincoln,AU,-34.7333,135.8667,66.74,62,8,6.02,clear sky
298,El Dorado,US,38.7666,-120.5177,68.52,24,91,1.01,overcast clouds
299,Pauini,BR,-7.7136,-66.9764,75.83,83,99,2.06,overcast clouds
300,Kalmunai,LK,7.4167,81.8167,77.77,85,91,2.39,overcast clouds
301,Fukue,JP,32.6881,128.8419,61.16,51,20,14.97,few clouds
302,Colares,PT,38.7992,-9.4469,54.28,36,4,20.0,clear sky
303,North Bend,US,43.4065,-124.2243,57.24,80,100,14.97,overcast clouds
304,Huckeswagen,DE,51.15,7.35,36.39,84,100,5.19,overcast clouds
305,Sebezh,RU,56.2955,28.4654,25.63,80,80,4.68,broken clouds
